,time,lon,lat,elev,atemp,hr,cad,c_delta_elev,c_delta_time,c_delta_sph2d,c_delta_sph3d,c_dist_sph2d,c_dist_sph3d,c_delta_geo2d,c_delta_geo3d,c_dist_geo2d,c_dist_geo3d,c_speed,c_speed_filtered
1881,2022-11-01 09:35:13+00:00,10.410122,44.148743,527.6,20.0,76.0,0.0,0.0,2.0,1.2443316236595177,1.2443316236595177,30340.009759814853,30393.164725451436,1.2443074795732665,1.2443074795732665,30367.201940450574,30420.30803154365,0.6221537397866332,1.0902505123057167
1882,2022-11-01 09:35:15+00:00,10.410114,44.148753,527.4,20.0,75.0,0.0,-0.20000000000004547,2.0,1.2821266545533683,1.2976319810779289,30341.291886469407,30394.462357432512,1.2823081876587377,1.2978113453567335,30368.484248638233,30421.605842889006,0.6489056726783667,1.120408147174306
1883,2022-11-01 09:35:16+00:00,10.410107,44.148763,527.4,20.0,74.0,0.0,0.0,1.0,1.2443315378274786,1.2443315378274786,30342.536218007233,30395.70668897034,1.2443073979713166,1.2443073979713166,30369.728556036203,30422.850150286977,1.2443073979713166,1.0824139016316159
1884,2022-11-01 09:35:18+00:00,10.410099,44.148773,527.6,20.0,75.0,0.0,0.20000000000004547,2.0,1.2821265474308814,1.2976318752354423,30343.818344554664,30397.004320845575,1.2823080841878056,1.2978112431218256,30371.01086412039,30424.1479615301,0.6489056215609128,1.084313892598281
1885,2022-11-01 09:35:19+00:00,10.410091,44.148783,527.6,20.0,76.0,0.0,0.0,1.0,1.2821264949477122,1.2821264949477122,30345.100471049613,30398.286447340524,1.2823080336887982,1.2823080336887982,30372.29317215408,30425.43026956379,1.2823080336887982,1.0767320050997984
1886,2022-11-01 09:35:20+00:00,10.410084,44.148793,527.6,20.0,77.0,0.0,0.0,1.0,1.2443314094680373,1.2443314094680373,30346.34480245908,30399.53077874999,1.2443072725660733,1.2443072725660733,30373.537479426646,30426.674576836354,1.2443072725660733,1.046961886223961
1887,2022-11-01 09:35:23+00:00,10.410076,44.148802,527.6,20.0,75.0,0.0,0.0,3.0,1.1869816725032538,1.1869816725032538,30347.531784131585,30400.717760422496,1.1873199593041361,1.1873199593041361,30374.72479938595,30427.861896795657,0.39577331976804536,1.0139541332096638
1888,2022-11-01 09:35:24+00:00,10.410069,44.148812,527.6,20.0,74.0,0.0,0.0,1.0,1.2443313293493106,1.2443313293493106,30348.776115460932,30401.962091751844,1.244307196547024,1.244307196547024,30375.969106582495,30429.106203992204,1.244307196547024,1.0139540816750103
1889,2022-11-01 09:35:25+00:00,10.410061,44.148822,527.6,20.0,73.0,0.0,0.0,1.0,1.282126284309175,1.282126284309175,30350.058241745242,30403.244218036154,1.2823078291462593,1.2823078291462593,30377.251414411643,30430.38851182135,1.2823078291462593,1.0150555347927381
1890,2022-11-01 09:35:26+00:00,10.410053,44.148832,527.6,20.0,72.0,0.0,0.0,1.0,1.2821262305359424,1.2821262305359424,30351.34036797578,30404.52634426669,1.282307776529051,1.282307776529051,30378.53372218817,30431.67081959788,1.282307776529051,0.9820477866067728
